"Code","Name","Cash Buying","Telegraphic Buying","Selling","Time","Date","Source"
"USD","US DOLLAR","24,170.00","24,200.00","24,540.00","23:00","13/11/2023","Vietcombank"
"EUR","EURO","25,383.30","25,639.70","26,776.88","23:00","13/11/2023","Vietcombank"
"GBP","POUND STERLING","29,056.64","29,350.14","30,293.73","23:00","13/11/2023","Vietcombank"
"JPY","YEN","156.06","157.63","165.20","23:00","13/11/2023","Vietcombank"
"AUD","AUSTRALIAN DOLLAR","15,111.26","15,263.89","15,754.62","23:00","13/11/2023","Vietcombank"
"SGD","SINGAPORE DOLLAR","17,459.57","17,635.92","18,202.91","23:00","13/11/2023","Vietcombank"
"THB","THAILAND BAHT","596.16","662.41","687.82","23:00","13/11/2023","Vietcombank"
"CAD","CANADIAN DOLLAR","17,205.34","17,379.13","17,937.86","23:00","13/11/2023","Vietcombank"
"CHF","SWISS FRANC","26,348.18","26,614.32","27,469.96","23:00","13/11/2023","Vietcombank"
"HKD","HONGKONG DOLLAR","3,040.89","3,071.60","3,170.35","23:00","13/11/2023","Vietcombank"
"CNY","YUAN RENMINBI","3,270.46","3,303.50","3,410.22","23:00","13/11/2023","Vietcombank"
"DKK","DANISH KRONE","-","3,428.82","3,560.36","23:00","13/11/2023","Vietcombank"
"INR","INDIAN RUPEE","-","291.69","303.37","23:00","13/11/2023","Vietcombank"
"KRW","KOREAN WON","15.91","17.68","19.29","23:00","13/11/2023","Vietcombank"
"KWD","KUWAITI DINAR","-","78,696.23","81,847.83","23:00","13/11/2023","Vietcombank"
"MYR","MALAYSIAN RINGGIT","-","5,123.02","5,235.10","23:00","13/11/2023","Vietcombank"
"NOK","NORWEGIAN KRONER","-","2,146.91","2,238.21","23:00","13/11/2023","Vietcombank"
"RUB","RUSSIAN RUBLE","-","251.16","278.05","23:00","13/11/2023","Vietcombank"
"SAR","SAUDI RIAL","-","6,479.85","6,739.36","23:00","13/11/2023","Vietcombank"
"SEK","SWEDISH KRONA","-","2,187.79","2,280.83","23:00","13/11/2023","Vietcombank"
"USD","US DOLLAR","24,160.00","24,190.00","24,530.00","23:00","14/11/2023","Vietcombank"
"EUR","EURO","25,413.23","25,669.93","26,808.46","23:00","14/11/2023","Vietcombank"
"GBP","POUND STERLING","29,177.62","29,472.34","30,419.89","23:00","14/11/2023","Vietcombank"
"JPY","YEN","156.16","157.74","165.30","23:00","14/11/2023","Vietcombank"
"AUD","AUSTRALIAN DOLLAR","15,116.92","15,269.61","15,760.54","23:00","14/11/2023","Vietcombank"
"SGD","SINGAPORE DOLLAR","17,449.83","17,626.09","18,192.77","23:00","14/11/2023","Vietcombank"
"THB","THAILAND BAHT","597.41","663.79","689.25","23:00","14/11/2023","Vietcombank"
"CAD","CANADIAN DOLLAR","17,189.55","17,363.19","17,921.42","23:00","14/11/2023","Vietcombank"
"CHF","SWISS FRANC","26,349.05","26,615.20","27,470.89","23:00","14/11/2023","Vietcombank"
"HKD","HONGKONG DOLLAR","3,040.88","3,071.60","3,170.35","23:00","14/11/2023","Vietcombank"
"CNY","YUAN RENMINBI","3,270.91","3,303.95","3,410.69","23:00","14/11/2023","Vietcombank"
"DKK","DANISH KRONE","-","3,431.94","3,563.60","23:00","14/11/2023","Vietcombank"
"INR","INDIAN RUPEE","-","292.04","303.74","23:00","14/11/2023","Vietcombank"
"KRW","KOREAN WON","15.86","17.62","19.22","23:00","14/11/2023","Vietcombank"
"KWD","KUWAITI DINAR","-","78,689.40","81,840.78","23:00","14/11/2023","Vietcombank"
"MYR","MALAYSIAN RINGGIT","-","5,108.97","5,220.75","23:00","14/11/2023","Vietcombank"
"NOK","NORWEGIAN KRONER","-","2,153.58","2,245.17","23:00","14/11/2023","Vietcombank"
"RUB","RUSSIAN RUBLE","-","253.51","280.66","23:00","14/11/2023","Vietcombank"
"SAR","SAUDI RIAL","-","6,477.37","6,736.77","23:00","14/11/2023","Vietcombank"
"SEK","SWEDISH KRONA","-","2,199.90","2,293.45","23:00","14/11/2023","Vietcombank"
"USD","US DOLLAR","24,070.00","24,100.00","24,440.00","23:00","15/11/2023","Vietcombank"
"EUR","EURO","25,707.07","25,966.74","27,118.61","23:00","15/11/2023","Vietcombank"
"GBP","POUND STERLING","29,526.13","29,824.37","30,783.42","23:00","15/11/2023","Vietcombank"
"JPY","YEN","156.53","158.11","165.70","23:00","15/11/2023","Vietcombank"
"AUD","AUSTRALIAN DOLLAR","15,377.90","15,533.23","16,032.72","23:00","15/11/2023","Vietcombank"
"SGD","SINGAPORE DOLLAR","17,554.33","17,731.65","18,301.84","23:00","15/11/2023","Vietcombank"
"THB","THAILAND BAHT","604.77","671.97","697.75","23:00","15/11/2023","Vietcombank"
"CAD","CANADIAN DOLLAR","17,284.94","17,459.53","18,020.97","23:00","15/11/2023","Vietcombank"
"CHF","SWISS FRANC","26,608.97","26,877.74","27,742.04","23:00","15/11/2023","Vietcombank"
"HKD","HONGKONG DOLLAR","3,031.16","3,061.77","3,160.23","23:00","15/11/2023","Vietcombank"
"CNY","YUAN RENMINBI","3,283.85","3,317.02","3,424.20","23:00","15/11/2023","Vietcombank"
"DKK","DANISH KRONE","-","3,472.23","3,605.46","23:00","15/11/2023","Vietcombank"
"INR","INDIAN RUPEE","-","291.16","302.83","23:00","15/11/2023","Vietcombank"
"KRW","KOREAN WON","16.13","17.93","19.55","23:00","15/11/2023","Vietcombank"
"KWD","KUWAITI DINAR","-","78,525.62","81,670.94","23:00","15/11/2023","Vietcombank"
"MYR","MALAYSIAN RINGGIT","-","5,150.13","5,262.84","23:00","15/11/2023","Vietcombank"
"NOK","NORWEGIAN KRONER","-","2,188.62","2,281.71","23:00","15/11/2023","Vietcombank"
"RUB","RUSSIAN RUBLE","-","256.31","283.75","23:00","15/11/2023","Vietcombank"
"SAR","SAUDI RIAL","-","6,453.24","6,711.73","23:00","15/11/2023","Vietcombank"
"SEK","SWEDISH KRONA","-","2,245.46","2,340.97","23:00","15/11/2023","Vietcombank"
"USD","US DOLLAR","24,085.00","24,115.00","24,455.00","23:00","16/11/2023","Vietcombank"
"EUR","EURO","25,630.69","25,889.59","27,038.01","23:00","16/11/2023","Vietcombank"
"GBP","POUND STERLING","29,310.14","29,606.20","30,558.20","23:00","16/11/2023","Vietcombank"
"JPY","YEN","155.98","157.55","165.11","23:00","16/11/2023","Vietcombank"
"AUD","AUSTRALIAN DOLLAR","15,309.32","15,463.96","15,961.22","23:00","16/11/2023","Vietcombank"
"SGD","SINGAPORE DOLLAR","17,515.79","17,692.72","18,261.64","23:00","16/11/2023","Vietcombank"
"THB","THAILAND BAHT","603.10","670.11","695.83","23:00","16/11/2023","Vietcombank"
"CAD","CANADIAN DOLLAR","17,269.13","17,443.56","18,004.47","23:00","16/11/2023","Vietcombank"
"CHF","SWISS FRANC","26,640.41","26,909.50","27,774.79","23:00","16/11/2023","Vietcombank"
"HKD","HONGKONG DOLLAR","3,031.40","3,062.02","3,160.48","23:00","16/11/2023","Vietcombank"
"CNY","YUAN RENMINBI","3,276.55","3,309.65","3,416.59","23:00","16/11/2023","Vietcombank"
"DKK","DANISH KRONE","-","3,462.11","3,594.95","23:00","16/11/2023","Vietcombank"
"INR","INDIAN RUPEE","-","291.09","302.75","23:00","16/11/2023","Vietcombank"
"KRW","KOREAN WON","16.13","17.93","19.55","23:00","16/11/2023","Vietcombank"
"KWD","KUWAITI DINAR","-","78,472.35","81,615.45","23:00","16/11/2023","Vietcombank"
"MYR","MALAYSIAN RINGGIT","-","5,104.05","5,215.74","23:00","16/11/2023","Vietcombank"
"NOK","NORWEGIAN KRONER","-","2,190.58","2,283.75","23:00","16/11/2023","Vietcombank"
"RUB","RUSSIAN RUBLE","-","258.36","286.03","23:00","16/11/2023","Vietcombank"
"SAR","SAUDI RIAL","-","6,461.54","6,720.35","23:00","16/11/2023","Vietcombank"
"SEK","SWEDISH KRONA","-","2,245.92","2,341.44","23:00","16/11/2023","Vietcombank"
"USD","US DOLLAR","24,045.00","24,075.00","24,415.00","23:00","17/11/2023","Vietcombank"
"EUR","EURO","25,645.14","25,904.18","27,053.32","23:00","17/11/2023","Vietcombank"
"GBP","POUND STERLING","29,318.52","29,614.66","30,567.02","23:00","17/11/2023","Vietcombank"
"JPY","YEN","156.55","158.13","165.71","23:00","17/11/2023","Vietcombank"
"AUD","AUSTRALIAN DOLLAR","15,269.91","15,424.15","15,920.17","23:00","17/11/2023","Vietcombank"
"SGD","SINGAPORE DOLLAR","17,534.94","17,712.06","18,281.65","23:00","17/11/2023","Vietcombank"
"THB","THAILAND BAHT","608.96","676.62","702.58","23:00","17/11/2023","Vietcombank"
"CAD","CANADIAN DOLLAR","17,186.74","17,360.34","17,918.62","23:00","17/11/2023","Vietcombank"
"CHF","SWISS FRANC","26,605.48","26,874.22","27,738.45","23:00","17/11/2023","Vietcombank"
"HKD","HONGKONG DOLLAR","3,030.20","3,060.81","3,159.24","23:00","17/11/2023","Vietcombank"
"CNY","YUAN RENMINBI","3,277.93","3,311.04","3,418.03","23:00","17/11/2023","Vietcombank"
"DKK","DANISH KRONE","-","3,464.51","3,597.45","23:00","17/11/2023","Vietcombank"
"INR","INDIAN RUPEE","-","290.52","302.16","23:00","17/11/2023","Vietcombank"
"KRW","KOREAN WON","16.23","18.04","19.68","23:00","17/11/2023","Vietcombank"
"KWD","KUWAITI DINAR","-","78,393.80","81,533.97","23:00","17/11/2023","Vietcombank"
"MYR","MALAYSIAN RINGGIT","-","5,123.94","5,236.08","23:00","17/11/2023","Vietcombank"
"NOK","NORWEGIAN KRONER","-","2,174.33","2,266.82","23:00","17/11/2023","Vietcombank"
"RUB","RUSSIAN RUBLE","-","258.23","285.88","23:00","17/11/2023","Vietcombank"
"SAR","SAUDI RIAL","-","6,450.89","6,709.29","23:00","17/11/2023","Vietcombank"
"SEK","SWEDISH KRONA","-","2,244.99","2,340.48","23:00","17/11/2023","Vietcombank"
"USD","US DOLLAR","24,045.00","24,075.00","24,415.00","23:00","18/11/2023","Vietcombank"
"EUR","EURO","25,645.14","25,904.18","27,053.32","23:00","18/11/2023","Vietcombank"
"GBP","POUND STERLING","29,318.52","29,614.66","30,567.02","23:00","18/11/2023","Vietcombank"
"JPY","YEN","156.55","158.13","165.71","23:00","18/11/2023","Vietcombank"
"AUD","AUSTRALIAN DOLLAR","15,269.91","15,424.15","15,920.17","23:00","18/11/2023","Vietcombank"
"SGD","SINGAPORE DOLLAR","17,534.94","17,712.06","18,281.65","23:00","18/11/2023","Vietcombank"
"THB","THAILAND BAHT","608.96","676.62","702.58","23:00","18/11/2023","Vietcombank"
"CAD","CANADIAN DOLLAR","17,186.74","17,360.34","17,918.62","23:00","18/11/2023","Vietcombank"
"CHF","SWISS FRANC","26,605.48","26,874.22","27,738.45","23:00","18/11/2023","Vietcombank"
"HKD","HONGKONG DOLLAR","3,030.20","3,060.81","3,159.24","23:00","18/11/2023","Vietcombank"
"CNY","YUAN RENMINBI","3,277.93","3,311.04","3,418.03","23:00","18/11/2023","Vietcombank"
"DKK","DANISH KRONE","-","3,464.51","3,597.45","23:00","18/11/2023","Vietcombank"
"INR","INDIAN RUPEE","-","290.52","302.16","23:00","18/11/2023","Vietcombank"
"KRW","KOREAN WON","16.23","18.04","19.68","23:00","18/11/2023","Vietcombank"
"KWD","KUWAITI DINAR","-","78,393.80","81,533.97","23:00","18/11/2023","Vietcombank"
"MYR","MALAYSIAN RINGGIT","-","5,123.94","5,236.08","23:00","18/11/2023","Vietcombank"
"NOK","NORWEGIAN KRONER","-","2,174.33","2,266.82","23:00","18/11/2023","Vietcombank"
"RUB","RUSSIAN RUBLE","-","258.23","285.88","23:00","18/11/2023","Vietcombank"
"SAR","SAUDI RIAL","-","6,450.89","6,709.29","23:00","18/11/2023","Vietcombank"
"SEK","SWEDISH KRONA","-","2,244.99","2,340.48","23:00","18/11/2023","Vietcombank"
"USD","US DOLLAR","24,045.00","24,075.00","24,415.00","23:00","19/11/2023","Vietcombank"
"EUR","EURO","25,645.14","25,904.18","27,053.32","23:00","19/11/2023","Vietcombank"
"GBP","POUND STERLING","29,318.52","29,614.66","30,567.02","23:00","19/11/2023","Vietcombank"
"JPY","YEN","156.55","158.13","165.71","23:00","19/11/2023","Vietcombank"
"AUD","AUSTRALIAN DOLLAR","15,269.91","15,424.15","15,920.17","23:00","19/11/2023","Vietcombank"
"SGD","SINGAPORE DOLLAR","17,534.94","17,712.06","18,281.65","23:00","19/11/2023","Vietcombank"
"THB","THAILAND BAHT","608.96","676.62","702.58","23:00","19/11/2023","Vietcombank"
"CAD","CANADIAN DOLLAR","17,186.74","17,360.34","17,918.62","23:00","19/11/2023","Vietcombank"
"CHF","SWISS FRANC","26,605.48","26,874.22","27,738.45","23:00","19/11/2023","Vietcombank"
"HKD","HONGKONG DOLLAR","3,030.20","3,060.81","3,159.24","23:00","19/11/2023","Vietcombank"
"CNY","YUAN RENMINBI","3,277.93","3,311.04","3,418.03","23:00","19/11/2023","Vietcombank"
"DKK","DANISH KRONE","-","3,464.51","3,597.45","23:00","19/11/2023","Vietcombank"
"INR","INDIAN RUPEE","-","290.52","302.16","23:00","19/11/2023","Vietcombank"
"KRW","KOREAN WON","16.23","18.04","19.68","23:00","19/11/2023","Vietcombank"
"KWD","KUWAITI DINAR","-","78,393.80","81,533.97","23:00","19/11/2023","Vietcombank"
"MYR","MALAYSIAN RINGGIT","-","5,123.94","5,236.08","23:00","19/11/2023","Vietcombank"
"NOK","NORWEGIAN KRONER","-","2,174.33","2,266.82","23:00","19/11/2023","Vietcombank"
"RUB","RUSSIAN RUBLE","-","258.23","285.88","23:00","19/11/2023","Vietcombank"
"SAR","SAUDI RIAL","-","6,450.89","6,709.29","23:00","19/11/2023","Vietcombank"
"SEK","SWEDISH KRONA","-","2,244.99","2,340.48","23:00","19/11/2023","Vietcombank"
"USD","US DOLLAR","23,975.00","24,005.00","24,345.00","23:00","20/11/2023","Vietcombank"
"EUR","EURO","25,719.43","25,979.22","27,131.82","23:00","20/11/2023","Vietcombank"
"GBP","POUND STERLING","29,384.55","29,681.36","30,636.01","23:00","20/11/2023","Vietcombank"
"JPY","YEN","157.34","158.93","166.55","23:00","20/11/2023","Vietcombank"
"AUD","AUSTRALIAN DOLLAR","15,385.96","15,541.38","16,041.24","23:00","20/11/2023","Vietcombank"
"SGD","SINGAPORE DOLLAR","17,566.40","17,743.83","18,314.53","23:00","20/11/2023","Vietcombank"
"THB","THAILAND BAHT","609.10","676.78","702.75","23:00","20/11/2023","Vietcombank"
"CAD","CANADIAN DOLLAR","17,190.84","17,364.49","17,922.99","23:00","20/11/2023","Vietcombank"
"CHF","SWISS FRANC","26,648.62","26,917.80","27,783.57","23:00","20/11/2023","Vietcombank"
"HKD","HONGKONG DOLLAR","3,022.73","3,053.26","3,151.46","23:00","20/11/2023","Vietcombank"
"CNY","YUAN RENMINBI","3,291.63","3,324.88","3,432.33","23:00","20/11/2023","Vietcombank"
"DKK","DANISH KRONE","-","3,474.68","3,608.03","23:00","20/11/2023","Vietcombank"
"INR","INDIAN RUPEE","-","289.52","301.12","23:00","20/11/2023","Vietcombank"
"KRW","KOREAN WON","16.17","17.97","19.60","23:00","20/11/2023","Vietcombank"
"KWD","KUWAITI DINAR","-","78,218.00","81,351.52","23:00","20/11/2023","Vietcombank"
"MYR","MALAYSIAN RINGGIT","-","5,116.78","5,228.80","23:00","20/11/2023","Vietcombank"
"NOK","NORWEGIAN KRONER","-","2,194.53","2,287.88","23:00","20/11/2023","Vietcombank"
"RUB","RUSSIAN RUBLE","-","256.40","283.86","23:00","20/11/2023","Vietcombank"
"SAR","SAUDI RIAL","-","6,428.13","6,685.65","23:00","20/11/2023","Vietcombank"
"SEK","SWEDISH KRONA","-","2,253.93","2,349.81","23:00","20/11/2023","Vietcombank"
"USD","US DOLLAR","23,920.00","23,950.00","24,290.00","23:00","21/11/2023","Vietcombank"
"EUR","EURO","25,721.97","25,981.79","27,134.60","23:00","21/11/2023","Vietcombank"
"GBP","POUND STERLING","29,444.55","29,741.97","30,698.68","23:00","21/11/2023","Vietcombank"
"JPY","YEN","158.91","160.51","168.21","23:00","21/11/2023","Vietcombank"
"AUD","AUSTRALIAN DOLLAR","15,442.58","15,598.57","16,100.33","23:00","21/11/2023","Vietcombank"
"SGD","SINGAPORE DOLLAR","17,594.61","17,772.34","18,344.02","23:00","21/11/2023","Vietcombank"
"THB","THAILAND BAHT","606.33","673.70","699.56","23:00","21/11/2023","Vietcombank"
"CAD","CANADIAN DOLLAR","17,130.45","17,303.49","17,860.09","23:00","21/11/2023","Vietcombank"
"CHF","SWISS FRANC","26,599.98","26,868.67","27,732.96","23:00","21/11/2023","Vietcombank"
"HKD","HONGKONG DOLLAR","3,015.57","3,046.03","3,144.02","23:00","21/11/2023","Vietcombank"
"CNY","YUAN RENMINBI","3,311.71","3,345.16","3,453.29","23:00","21/11/2023","Vietcombank"
"DKK","DANISH KRONE","-","3,475.68","3,609.07","23:00","21/11/2023","Vietcombank"
"INR","INDIAN RUPEE","-","288.60","300.16","23:00","21/11/2023","Vietcombank"
"KRW","KOREAN WON","16.17","17.97","19.60","23:00","21/11/2023","Vietcombank"
"KWD","KUWAITI DINAR","-","78,090.57","81,219.30","23:00","21/11/2023","Vietcombank"
"MYR","MALAYSIAN RINGGIT","-","5,132.58","5,244.96","23:00","21/11/2023","Vietcombank"
"NOK","NORWEGIAN KRONER","-","2,214.96","2,309.20","23:00","21/11/2023","Vietcombank"
"RUB","RUSSIAN RUBLE","-","260.80","288.73","23:00","21/11/2023","Vietcombank"
"SAR","SAUDI RIAL","-","6,413.33","6,670.28","23:00","21/11/2023","Vietcombank"
"SEK","SWEDISH KRONA","-","2,269.14","2,365.68","23:00","21/11/2023","Vietcombank"
"USD","US DOLLAR","23,985.00","24,015.00","24,355.00","23:00","22/11/2023","Vietcombank"
"EUR","EURO","25,682.95","25,942.37","27,093.32","23:00","22/11/2023","Vietcombank"
"GBP","POUND STERLING","29,498.04","29,796.00","30,754.32","23:00","22/11/2023","Vietcombank"
"JPY","YEN","157.78","159.38","167.02","23:00","22/11/2023","Vietcombank"
"AUD","AUSTRALIAN DOLLAR","15,394.69","15,550.19","16,050.32","23:00","22/11/2023","Vietcombank"
"SGD","SINGAPORE DOLLAR","17,594.66","17,772.38","18,343.99","23:00","22/11/2023","Vietcombank"
"THB","THAILAND BAHT","606.07","673.41","699.25","23:00","22/11/2023","Vietcombank"
"CAD","CANADIAN DOLLAR","17,176.65","17,350.15","17,908.18","23:00","22/11/2023","Vietcombank"
"CHF","SWISS FRANC","26,662.67","26,931.99","27,798.19","23:00","22/11/2023","Vietcombank"
"HKD","HONGKONG DOLLAR","3,021.69","3,052.21","3,150.38","23:00","22/11/2023","Vietcombank"
"CNY","YUAN RENMINBI","3,314.79","3,348.27","3,456.48","23:00","22/11/2023","Vietcombank"
"DKK","DANISH KRONE","-","3,471.04","3,604.24","23:00","22/11/2023","Vietcombank"
"INR","INDIAN RUPEE","-","289.41","301.01","23:00","22/11/2023","Vietcombank"
"KRW","KOREAN WON","16.09","17.87","19.50","23:00","22/11/2023","Vietcombank"
"KWD","KUWAITI DINAR","-","78,250.38","81,385.14","23:00","22/11/2023","Vietcombank"
"MYR","MALAYSIAN RINGGIT","-","5,121.09","5,233.20","23:00","22/11/2023","Vietcombank"
"NOK","NORWEGIAN KRONER","-","2,215.50","2,309.74","23:00","22/11/2023","Vietcombank"
"RUB","RUSSIAN RUBLE","-","261.57","289.58","23:00","22/11/2023","Vietcombank"
"SAR","SAUDI RIAL","-","6,430.28","6,687.88","23:00","22/11/2023","Vietcombank"
"SEK","SWEDISH KRONA","-","2,260.76","2,356.93","23:00","22/11/2023","Vietcombank"
"USD","US DOLLAR","24,020.00","24,050.00","24,390.00","23:00","23/11/2023","Vietcombank"
"EUR","EURO","25,720.15","25,979.95","27,132.49","23:00","23/11/2023","Vietcombank"
"GBP","POUND STERLING","29,498.29","29,796.25","30,754.50","23:00","23/11/2023","Vietcombank"
"JPY","YEN","157.81","159.41","167.05","23:00","23/11/2023","Vietcombank"
"AUD","AUSTRALIAN DOLLAR","15,464.18","15,620.39","16,122.74","23:00","23/11/2023","Vietcombank"
"SGD","SINGAPORE DOLLAR","17,605.68","17,783.52","18,355.44","23:00","23/11/2023","Vietcombank"
"THB","THAILAND BAHT","607.64","675.15","701.06","23:00","23/11/2023","Vietcombank"
"CAD","CANADIAN DOLLAR","17,249.30","17,423.53","17,983.88","23:00","23/11/2023","Vietcombank"
"CHF","SWISS FRANC","26,740.62","27,010.72","27,879.39","23:00","23/11/2023","Vietcombank"
"HKD","HONGKONG DOLLAR","3,028.05","3,058.63","3,157.00","23:00","23/11/2023","Vietcombank"
"CNY","YUAN RENMINBI","3,319.59","3,353.12","3,461.48","23:00","23/11/2023","Vietcombank"
"DKK","DANISH KRONE","-","3,476.57","3,609.98","23:00","23/11/2023","Vietcombank"
"INR","INDIAN RUPEE","-","289.95","301.57","23:00","23/11/2023","Vietcombank"
"KRW","KOREAN WON","16.14","17.94","19.57","23:00","23/11/2023","Vietcombank"
"KWD","KUWAITI DINAR","-","78,389.15","81,529.28","23:00","23/11/2023","Vietcombank"
"MYR","MALAYSIAN RINGGIT","-","5,111.55","5,223.43","23:00","23/11/2023","Vietcombank"
"NOK","NORWEGIAN KRONER","-","2,208.23","2,302.17","23:00","23/11/2023","Vietcombank"
"RUB","RUSSIAN RUBLE","-","260.73","288.65","23:00","23/11/2023","Vietcombank"
"SAR","SAUDI RIAL","-","6,439.59","6,697.55","23:00","23/11/2023","Vietcombank"
"SEK","SWEDISH KRONA","-","2,271.29","2,367.91","23:00","23/11/2023","Vietcombank"
