"Code","Name","Cash Buying","Telegraphic Buying","Selling","Time","Date","Source"
"AUD","AUSTRALIAN DOLLAR","15,116.92","15,269.61","15,760.54","23:00","14/11/2023","Vietcombank"
"SGD","SINGAPORE DOLLAR","17,449.83","17,626.09","18,192.77","23:00","14/11/2023","Vietcombank"
"THB","THAILAND BAHT","597.41","663.79","689.25","23:00","14/11/2023","Vietcombank"
"CAD","CANADIAN DOLLAR","17,189.55","17,363.19","17,921.42","23:00","14/11/2023","Vietcombank"
"CHF","SWISS FRANC","26,349.05","26,615.20","27,470.89","23:00","14/11/2023","Vietcombank"
"HKD","HONGKONG DOLLAR","3,040.88","3,071.60","3,170.35","23:00","14/11/2023","Vietcombank"
"CNY","YUAN RENMINBI","3,270.91","3,303.95","3,410.69","23:00","14/11/2023","Vietcombank"
"DKK","DANISH KRONE","-","3,431.94","3,563.60","23:00","14/11/2023","Vietcombank"
"INR","INDIAN RUPEE","-","292.04","303.74","23:00","14/11/2023","Vietcombank"
"KRW","KOREAN WON","15.86","17.62","19.22","23:00","14/11/2023","Vietcombank"
"KWD","KUWAITI DINAR","-","78,689.40","81,840.78","23:00","14/11/2023","Vietcombank"
"MYR","MALAYSIAN RINGGIT","-","5,108.97","5,220.75","23:00","14/11/2023","Vietcombank"
"NOK","NORWEGIAN KRONER","-","2,153.58","2,245.17","23:00","14/11/2023","Vietcombank"
"RUB","RUSSIAN RUBLE","-","253.51","280.66","23:00","14/11/2023","Vietcombank"
"SAR","SAUDI RIAL","-","6,477.37","6,736.77","23:00","14/11/2023","Vietcombank"
"SEK","SWEDISH KRONA","-","2,199.90","2,293.45","23:00","14/11/2023","Vietcombank"
"USD","US DOLLAR","24,050.00","24,080.00","24,420.00","15:15","24/11/2023","Vietcombank"
"EUR","EURO","25,752.03","26,012.15","27,166.07","15:15","24/11/2023","Vietcombank"
"GBP","POUND STERLING","29,598.65","29,897.63","30,859.07","15:15","24/11/2023","Vietcombank"
"JPY","YEN","157.56","159.15","166.79","15:15","24/11/2023","Vietcombank"
"AUD","AUSTRALIAN DOLLAR","15,502.26","15,658.84","16,162.40","15:15","24/11/2023","Vietcombank"
"SGD","SINGAPORE DOLLAR","17,623.57","17,801.58","18,374.04","15:15","24/11/2023","Vietcombank"
"THB","THAILAND BAHT","605.47","672.74","698.55","15:15","24/11/2023","Vietcombank"
"CAD","CANADIAN DOLLAR","17,251.77","17,426.03","17,986.42","15:15","24/11/2023","Vietcombank"
"CHF","SWISS FRANC","26,734.39","27,004.44","27,872.84","15:15","24/11/2023","Vietcombank"
"HKD","HONGKONG DOLLAR","3,030.60","3,061.21","3,159.65","15:15","24/11/2023","Vietcombank"
"CNY","YUAN RENMINBI","3,322.45","3,356.01","3,464.45","15:15","24/11/2023","Vietcombank"
"DKK","DANISH KRONE","-","3,480.73","3,614.29","15:15","24/11/2023","Vietcombank"
"INR","INDIAN RUPEE","-","290.28","301.91","15:15","24/11/2023","Vietcombank"
"KRW","KOREAN WON","16.10","17.88","19.51","15:15","24/11/2023","Vietcombank"
"KWD","KUWAITI DINAR","-","78,435.41","81,577.23","15:15","24/11/2023","Vietcombank"
"MYR","MALAYSIAN RINGGIT","-","5,126.09","5,238.28","15:15","24/11/2023","Vietcombank"
"NOK","NORWEGIAN KRONER","-","2,205.61","2,299.43","15:15","24/11/2023","Vietcombank"
"RUB","RUSSIAN RUBLE","-","261.43","289.42","15:15","24/11/2023","Vietcombank"
"SAR","SAUDI RIAL","-","6,447.58","6,705.84","15:15","24/11/2023","Vietcombank"
"SEK","SWEDISH KRONA","-","2,263.34","2,359.61","15:15","24/11/2023","Vietcombank"
